ID Cor,Nome,Código
36081,"(*) rosa_estampado_1","#FFFFFF"
50952,"azul","#FFFFFF"
50953,"azul_marinho","#FFFFFF"
50954,"azul_petroleo","#FFFFFF"
50955,"azul_royal","#FFFFFF"
50956,"azul1","#FFFFFF"
50957,"azul2","#FFFFFF"
50958,"azul3","#FFFFFF"
50959,"azul4","#FFFFFF"
50960,"azul5","#FFFFFF"
50961,"azul6","#FFFFFF"
50962,"azul7","#FFFFFF"
50963,"azulMarinhoPoa","#FFFFFF"
50964,"branco","#FFFFFF"
50965,"branco1","#FFFFFF"
50966,"branco2","#FFFFFF"
50967,"branco3","#FFFFFF"
50968,"branco4","#FFFFFF"
50969,"branco5","#FFFFFF"
50970,"branco6","#FFFFFF"
50971,"branco7","#FFFFFF"
50972,"branco8","#FFFFFF"
50973,"branco9","#FFFFFF"
50974,"branco10","#FFFFFF"
50975,"branco11","#FFFFFF"
50976,"cinza","#FFFFFF"
50977,"creme","#FFFFFF"
50978,"creme1","#FFFFFF"
50979,"creme2","#FFFFFF"
50980,"creme3","#FFFFFF"
50981,"creme4","#FFFFFF"
50982,"creme5","#FFFFFF"
50983,"creme6","#FFFFFF"
50984,"creme7","#FFFFFF"
50986,"lilas_listrado","#FFFFFF"
50987,"lilas","#FFFFFF"
50988,"marinho_turquesa_list","#FFFFFF"
50989,"multicolorido_list","#FFFFFF"
50990,"pinkPoa","#FFFFFF"
50991,"pretoPoa","#FFFFFF"
50992,"rosa_escuro","#FFFFFF"
50993,"rosa_lilas_listrado","#FFFFFF"
50994,"rosa_listrado","#FFFFFF"
50995,"rosa","#FFFFFF"
50996,"rosa1","#FFFFFF"
50998,"rosa3","#FFFFFF"
50999,"rosa4","#FFFFFF"
51000,"rosa5","#FFFFFF"
51001,"rosa6","#FFFFFF"
51002,"rosa7","#FFFFFF"
51003,"rosaEscuroPoa","#FFFFFF"
51004,"rosaPoa","#FFFFFF"
51005,"turquesa_escuro","#FFFFFF"
51006,"turquesa_listrado","#FFFFFF"
51007,"turquesa","#FFFFFF"
51008,"turquesa1","#FFFFFF"
51009,"turquesa2","#FFFFFF"
51010,"turquesa3","#FFFFFF"
51011,"turquesa4","#FFFFFF"
51012,"turquesa5","#FFFFFF"
51013,"turquesa6","#FFFFFF"
51014,"verde_listrado","#FFFFFF"
51015,"verde","#FFFFFF"
51016,"verde1","#FFFFFF"
51017,"verde2","#FFFFFF"
51018,"verde3","#FFFFFF"
51019,"verde4","#FFFFFF"
51020,"verde5","#FFFFFF"
51021,"verde6","#FFFFFF"
51022,"verde7","#FFFFFF"
51023,"vermelho","#FFFFFF"
51024,"vermelhoPoa","#FFFFFF"
51164,"verdeFeminino","#FFFFFF"
51165,"brancoFeminino","#FFFFFF"
51166,"cremeFeminino","#FFFFFF"
51167,"verdeMasculino","#FFFFFF"
51168,"brancoMasculino","#FFFFFF"
51169,"cremeMasculino","#FFFFFF"
57267,"pretoOnca","#FFFFFF"
57268,"rosaOnca","#FFFFFF"
57269,"cremePretoOnca","#FFFFFF"
57270,"cremeAmareloOnca","#FFFFFF"
57271,"azulAmareloOnca","#FFFFFF"
57272,"pinkLilasOnca","#FFFFFF"
57273,"vermelhoPoa2","#FFFFFF"
57274,"verdePoa2","#FFFFFF"
57275,"rosaPoa2","#FFFFFF"
57276,"pretoPoa2","#FFFFFF"
57277,"pinkPoa2","#FFFFFF"
57278,"marinhoPoa2","#FFFFFF"
57279,"lilasPinkListrado","#FFFFFF"
57280,"lilasRosaListrado","#FFFFFF"
57281,"rosaListrado","#FFFFFF"
57282,"turquesaListrado","#FFFFFF"
57283,"marinhoTurquesaList","#FFFFFF"
57284,"marinhoPetroleoList","#FFFFFF"
57285,"marinhoVermelhoList","#FFFFFF"
57286,"verdeAmareloListrado","#FFFFFF"
57517,"rosaEscuro","#FFFFFF"
57558,"bordo","#FFFFFF"
57559,"rosaEscuro2","#FFFFFF"
57560,"verdeEscuro","#FFFFFF"
57561,"verdeLimao","#FFFFFF"
58277,"pink","#FFFFFF"
58881,"verdePoa","#FFFFFF"
