Estado,Núm Pedido
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"SP",52424
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52426
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"RS",52434
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52436
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52437
"SP",52438
"SP",52438
"SP",52438
"SP",52438
"SP",52438
"SP",52438
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"GO",52439
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"ES",52440
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RJ",52442
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"RN",52445
"SP",52448
"SP",52448
"SP",52448
"SP",52448
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"PR",52449
"SP",52450
"SP",52450
"SP",52450
"SP",52450
"SP",52450
"SP",52450
"SP",52450
"SP",52452
"SP",52452
"SP",52452
"SP",52452
"SP",52452
"SP",52452
"SP",52452
"SP",52452
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"PE",52453
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"SP",52454
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"MG",52455
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52456
"SP",52459
"SP",52459
"SP",52459
"SP",52459
"SP",52459
"SP",52459
"SP",52459
"SP",52459
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"SP",52460
"PR",52461
"PR",52461
"PR",52461
"PR",52461
"PR",52461
"PR",52461
"SP",52462
"SP",52462
"SP",52462
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"RJ",52463
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"PB",52467
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52468
"SP",52470
"SP",52470
"SP",52470
"SP",52470
"SP",52470
"SP",52470
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"MG",52472
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"RN",52473
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52476
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"SP",52477
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"RO",52478
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52479
"SP",52480
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52482
"SP",52483
"SP",52483
"SP",52483
"SP",52483
"SP",52483
"SP",52483
"SP",52485
"SP",52485
"SP",52487
"SP",52487
"SP",52487
"SP",52487
"SP",52487
"PI",52488
"PI",52488
"PI",52488
"PI",52488
"PI",52488
"PI",52488
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"MG",52489
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52490
"SP",52493
"SP",52493
"SP",52493
"SP",52493
"SP",52493
"SP",52493
"SP",52493
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RN",52495
"RJ",52496
"RJ",52496
"RJ",52496
"RJ",52496
"RJ",52496
"RJ",52496
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MT",52497
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"MG",52498
"RR",52499
"RR",52499
"RR",52499
"RR",52499
"RR",52499
"RR",52499
"RR",52499
"RR",52499
"SP",52500
"SP",52500
"SP",52500
"SP",52500
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"PR",52501
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"BA",52502
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"PE",52503
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"BA",52504
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"MS",52505
"SP",52506
"SP",52506
"SP",52506
"SP",52506
"SP",52506
"MG",52508
"MG",52508
"MG",52508
"MG",52508
"MG",52508
"MG",52508
"MG",52508
"MG",52508
"MG",52508
