Comando,IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
"A",5966745,"4003",18.99,17.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966746,"4003",18.99,17.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966747,"4003",18.99,17.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966748,"4005",5.49,4.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966749,"4005",5.49,4.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966750,"4005",5.49,4.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966751,"4004",9.49,8.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966752,"4004",9.49,8.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966753,"4004",9.49,8.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966754,"4006",7.49,6.49,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966755,"4006",7.49,6.49,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966756,"4006",7.49,6.49,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966719,"4006",7.49,6.49,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966718,"4005",5.49,4.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966716,"4003",18.99,17.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5966717,"4004",9.49,8.99,06/02/2018 23:00:00,28/06/2018 23:00:00
"A",5789377,"2050",19.99,14.99,09/10/2017 23:00:00,28/06/2018 23:00:00
"A",5789375,"2048",19.99,13.99,09/10/2017 23:00:00,28/06/2018 23:00:00
"A",5789376,"2049",19.99,13.99,09/10/2017 23:00:00,28/06/2018 23:00:00
"A",4650637,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650638,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650639,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650640,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650641,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650642,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650643,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650644,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650645,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650646,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650647,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650648,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650649,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
"A",4650650,"321",9.99,7.99,01/03/2017 23:00:00,28/06/2018 23:00:00
